Metabolite,term,df,sumsq,meansq,statistic,p.value,adj.p.value
X2_Aminobutyric_acid,g,3,48.836567000000095,16.278855666666697,19.024823655666562,1.2460925156405629e-8,5.7320255719465886e-8
Alanine,g,3,14.403130583333349,4.801043527777783,6.595316540422813,6.773193717158433e-4,8.654636416369108e-4
Asparagine,g,3,62.671423600000146,20.890474533333382,34.14845078441717,1.1060254488761716e-12,2.5438585324151947e-11
Creatinine,g,3,12.784362983333352,4.261454327777784,5.92665762688516,0.0013858020901699331,0.001677549898626761
Glutamic_acid,g,3,8.04107180000001,2.68035726666667,5.041129105036695,0.003664469777834254,0.004214140244509392
Glutamine,g,3,15.895279783333338,5.298426594444446,8.816781315954993,7.012219855169608e-5,1.07520704445934e-4
Glycine,g,3,27.783984533333356,9.261328177777786,22.675062480633077,9.736221775593012e-10,7.46443669462131e-9
Histidine,g,3,41.04078965000003,13.680263216666676,14.039008690989768,6.140469579206479e-7,2.0175828617392717e-6
Isoleucine,g,3,28.44260653333334,9.480868844444446,9.056206132117797,5.545406296049296e-5,9.110310343509557e-5
Leucine,g,3,17.574806933333356,5.858268977777786,9.234189224913504,4.6631483347815895e-5,8.250185515382812e-5
Lysine,g,3,42.191318316666695,14.063772772222231,21.759893106781526,1.8062015596719333e-9,1.0385658968113617e-8
Phenylalanine,g,3,14.726554000000014,4.908851333333338,4.744190238341862,0.005108593328330345,0.005340802115981725
Tyrosine,g,3,12.824972183333347,4.274990727777783,4.979044653521643,0.003927076415275653,0.004301083692920954
Valine,g,3,45.665552200000064,15.221850733333355,16.649797504830538,7.46748191876608e-8,2.8625347355269976e-7
X2_Hydroxybutyric_acid,g,3,14.492879133333396,4.830959711111132,6.625282837896553,6.561753598919488e-4,8.654636416369108e-4
Acetic_acid,g,3,31.0182800666667,10.339426688888901,11.39835596799856,6.125043113687348e-6,1.40875991614809e-5
Citric_acid,g,3,17.537654800000016,5.8458849333333385,11.139811110760652,7.74979329676694e-6,1.620411325687633e-5
Lactic_acid,g,3,10.555281200000012,3.518427066666671,3.670241484825752,0.01741439491139484,0.01741439491139484
X3_Hydroxybutyric_acid,g,3,31.281278983333408,10.42709299444447,12.319130112528638,2.6899560280325415e-6,6.874332071638717e-6
Acetoacetic_acid,g,3,18.557429650000042,6.185809883333348,9.79713405751741,2.7132382922347304e-5,5.2003733934499e-5
Acetone,g,3,32.587034933333364,10.862344977777788,12.55507729554085,2.186620172514008e-6,6.286532995977773e-6
Pyruvic_acid,g,3,11.99425018333335,3.99808339444445,7.225753819863422,3.49851642821345e-4,5.029117365556835e-4
Glucose,g,3,47.758057933333376,15.919352644444459,25.839625501675275,1.2679386640087704e-10,1.458129463610086e-9
