Contrast,Metabolite,logFC,AveExpr,t,P.Value,adj.P.Val,B
G2_vs_G1,Asparagine,2.0064666666666655,7.3968,6.665216830114037,6.536904533229243e-10,1.503488042642726e-8,12.179548457288474
G2_vs_G1,X2_Aminobutyric_acid,1.9091333333333331,11.913033333333333,5.908299585497921,2.77360257294038e-8,3.189642958881437e-7,8.540620415617706
G2_vs_G1,X3_Hydroxybutyric_acid,1.4125333333333288,11.537683333333334,4.38243163830425,2.3720870709860484e-5,1.8186000877559705e-4,2.050990759489732
G2_vs_G1,Alanine,1.1438666666666695,9.507516666666668,3.669122257458451,3.5191663234906875e-4,0.001756328376455992,-0.4944965567438304
G2_vs_G1,Creatinine,1.1337333333333328,6.8639166666666664,3.6460847256734787,3.8181051662086784e-4,0.001756328376455992,-0.5707146696407266
G2_vs_G1,Acetoacetic_acid,1.0230666666666686,6.29195,3.3778673885615986,9.602236197725977e-4,0.003680857209128291,-1.4288976149544563
G2_vs_G1,Valine,0.9360000000000017,8.129033333333334,2.8518223702799,0.005046653064849157,0.014616970111555555,-2.949204302081384
G2_vs_G1,X2_Hydroxybutyric_acid,0.8820000000000032,9.384033333333333,2.8281403109548067,0.005412017242913651,0.014616970111555555,-3.01237262705972
G2_vs_G1,Leucine,0.8505333333333365,12.213333333333333,2.8056021771458073,0.0057820042082343225,0.014616970111555555,-3.0720567943292063
G2_vs_G1,Glutamic_acid,0.8076666666666679,9.873433333333333,2.752576753292865,0.006745116309418721,0.014616970111555555,-3.2108034910540937
G2_vs_G1,Glycine,0.7708000000000013,6.968133333333333,2.7401616093916408,0.0069907248359613525,0.014616970111555555,-3.242948734012492
G2_vs_G1,Lactic_acid,0.8433333333333346,8.131666666666666,2.5400609519261703,0.012241402070042585,0.02202918107681456,-3.7430417557588935
G2_vs_G1,Pyruvic_acid,0.7487333333333348,7.420883333333333,2.533812750146223,0.01245127626080823,0.02202918107681456,-3.758106571357211
G2_vs_G1,Acetone,0.7969333333333317,11.700800000000001,2.4599869646298034,0.015186343318684743,0.024948992594982077,-3.9335525733915198
G2_vs_G1,Phenylalanine,0.7728666666666664,6.7001333333333335,2.2836989650374844,0.023985486819888983,0.03670857377908418,-4.333276624389686
G2_vs_G1,Citric_acid,0.6612666666666671,6.434333333333333,2.2587770376921936,0.025536399150667254,0.03670857377908418,-4.3875779410491935
G2_vs_G1,Tyrosine,0.6484000000000005,6.58095,2.005047783409872,0.04700193634256942,0.06359085505171157,-4.908800936771766
G2_vs_G1,Glucose,0.4993333333333343,10.3055,1.6564844373355436,0.09999758632661458,0.12777469363956306,-5.529102648084837
G2_vs_G1,Lysine,0.3721333333333332,5.4138166666666665,1.2230630224179058,0.22348368787626427,0.27053288532389885,-6.141454841287587
G2_vs_G1,Glutamine,0.19813333333333283,8.607083333333334,0.6604025666826173,0.5101456737032195,0.5739068118603925,-6.665971727176464
G2_vs_G1,Isoleucine,-0.216866666666661,11.541466666666667,-0.6388885156172268,0.5240018716986192,0.5739068118603925,-6.679864185275765
G2_vs_G1,Acetic_acid,0.0367999999999995,5.299033333333333,0.1123335406945267,0.9107294988864078,0.9160657081540635,-6.876772758901764
G2_vs_G1,Histidine,0.03520000000000145,9.306316666666667,0.10559271277392085,0.9160657081540635,0.9160657081540635,-6.8775051346800105
G3_vs_G1,Lysine,-1.703466666666666,5.4138166666666665,-5.5986575329312664,1.1997755253727605e-7,2.759483708357349e-6,7.2306536953517
G3_vs_G1,Glucose,-1.4558000000000018,10.3055,-4.829459366902035,3.7305898058623974e-6,4.290178276741757e-5,3.9406526147755105
G3_vs_G1,Acetic_acid,-1.5267333333333335,5.299033333333333,-4.660417419285129,7.611483409895903e-6,5.835470614253526e-5,3.2619778552202696
G3_vs_G1,Valine,-1.2978666666666658,8.129033333333334,-3.954364523120296,1.2450804977446036e-4,5.85697750068168e-4,0.621629108126311
